author_a,author_b,shared_papers
Sabrina T Howell,Elisabeth Ruth Perlman,1
Guido W. Imbens,Nancy Early,1
Guido W. Imbens,Dmitry Arkhangelsky,1
Guillaume Fréchette,Masaki Aoyagi,1
Jesús Fernández‐Villaverde,Samuel Hurtado,1
Guillaume Fréchette,Alessandro Lizzeri,1
Sabrina T Howell,Joseph Staudt,1
Sabrina T Howell,Jason Rathje,1
Magne Mogstad,Bradley Setzler,1
Magne Mogstad,Ayumu Ken Kikkawa,1
Magne Mogstad,Toshiaki Komatsu,1
Rafael Dix-Carneiro,Sharon Traiberman,1
Guido W. Imbens,Shari Eli,1
Claus Thustrup Kreiner,Henrik Kleven,1
Claus Thustrup Kreiner,Kristian Larsen,1
Claus Thustrup Kreiner,Jakob Egholt Søgaard,1
Ester Faia,Vincenzo Pezone,1
Ian Muir,Devin G. Pope,1
Ian Muir,Gregory Sun,1
Yeon‐Koo Che,Weijie Zhong,1
Yeon‐Koo Che,Sarah Auster,1
Devin G. Pope,Gregory Sun,1
Philippe Aghion,Antonin Bergeaud,1
Philippe Aghion,Timo Boppart,1
Rafael Dix-Carneiro,João Paulo Pessoa,1
Philippe Aghion,Peter J. Klenow,1
Yeon‐Koo Che,Christopher Ryan,1
Philippe Aghion,Huiyu Li,1
Alexander Wolitzky,Roberto Corrao,1
Antonin Bergeaud,Timo Boppart,1
Guido W. Imbens,Keyoung Lee,1
Antonin Bergeaud,Peter J. Klenow,1
Antonin Bergeaud,Huiyu Li,1
Antonin Bergeaud,Arthur Guillouzouic,1
Andrew McClellan,Evan Sadler,1
Antonin Bergeaud,Emeric Henry,1
Jesús Fernández‐Villaverde,Federico Mandelman,1
Andrew McClellan,Dhruva Bhaskar,1
Guido W. Imbens,Adriana Lleras‐Muney,1
Rafael Dix-Carneiro,Ricardo Reyes-Heroles,1
Sung Jae Jun,Sokbae Lee,1
Magne Mogstad,Felix Tintelnot,1
Deepak Hegde,Chenqi Zhu,1
Suphanit Piyapromdee,Jean‐Marc Robin,1
Georgy Egorov,Ingar Haaland,1
Raquel Fonseca,François Langot,1
Rasmus Lentz,Jean‐Marc Robin,1
Raquel Fonseca,Pierre‐Carl Michaud,1
Rasmus Lentz,Suphanit Piyapromdee,1
Raquel Fonseca,Thepthida Sopraseuth,1
François Langot,Pierre‐Carl Michaud,1
João Paulo Pessoa,Ricardo Reyes-Heroles,1
François Langot,Thepthida Sopraseuth,1
Pierre‐Carl Michaud,Thepthida Sopraseuth,1
Ji Yan,Songyuan Teng,1
Lucia Corno,Justine Burns,1
Ji Yan,Robert M. Townsend,1
Songyuan Teng,Robert M. Townsend,1
Robert M. Townsend,Cynthia Kinnan,1
Robert M. Townsend,Krislert Samphantharak,1
Robert M. Townsend,Diego Vera‐Cossio,1
Vanessa Alviarez,Javier Cravino,1
Vanessa Alviarez,Natalia Ramondo,1
Phillip Magness,Michael Makovi,1
Javier Cravino,Natalia Ramondo,1
Konrad Mierendorff,Sarah Auster,1
Farid Farrokhi,Heitor S. Pellegrina,1
Farid Farrokhi,Ahmad Lashkaripour,1
Heitor S. Pellegrina,Sebastian Sotelo,1
Kyungmin Kim,Konrad Mierendorff,1
Sabrina T Howell,Jun Wong,1
Árpád Ábrahám,Eva Cárceles‐Poveda,1
Hassan Afrouzi,Spencer Yongwook Kwon,1
Esther Duflo,Cynthia Kinnan,1
Rocco Macchiavello,Mari Tanaka,1
Rocco Macchiavello,Virginia Minni,1
Rocco Macchiavello,Laura Boudreau,1
Rocco Macchiavello,Guillermo Noguera,1
Julia Cajal-Grossi,Guillermo Noguera,1
Julia Cajal-Grossi,Rocco Macchiavello,1
Cynthia Kinnan,Diego Vera‐Cossio,1
Cynthia Kinnan,Krislert Samphantharak,1
Emily Breza,Cynthia Kinnan,1
Joshua D. Gottlieb,Daniel Sonnenstuhl,1
Emily Breza,Esther Duflo,1
Sergey Kovbasyuk,Giancarlo Spagnolo,1
Germán Gieczewski,Svetlana Kosterina,1
Donna Feir,Rob Gillezeau,1
Iván Alfaro,Xiaoji Lin,1
Ananth Seshadri,Christopher Taber,1
Xiaodong Fan,Christopher Taber,1
Xiaodong Fan,Ananth Seshadri,1
Joshua D. Gottlieb,Adam Hale Shapiro,1
Joshua D. Gottlieb,Maria Polyakova,1
Hassan Afrouzi,Augustin Landier,1
Konstantin Egorov,Dmitry Mukhin,1
Max Kapustin,Christopher Blattman,1
Max Kapustin,Marianne Bertrand,1
Sara Heller,Christopher Blattman,1
Sara Heller,Marianne Bertrand,1
Sara Heller,Max Kapustin,1
George J. Mailath,Yena Park,1
Dirk Krueger,Yena Park,1
Dirk Krueger,George J. Mailath,1
Arthur Guillouzouic,Thomas Breda,1
Joshua D. Gottlieb,Kevin Rinz,1
Arthur Guillouzouic,Emeric Henry,1
Antoine Bozio,Thomas Breda,1
Laurent Bach,Arthur Guillouzouic,1
Laurent Bach,Antoine Bozio,1
Ricardo Pérez-Truglia,Shengwu Li,1
Adam Hale Shapiro,Daniel Sonnenstuhl,1
Joshua D. Gottlieb,Victoria Udalova,1
Joshua D. Gottlieb,Hugh Shiplett,1
Gregory F. Udell,Teng Wang,1
Raluca A. Roman,Teng Wang,1
Raluca A. Roman,Gregory F. Udell,1
Brent Hickman,Eric Richert,1
Samuel Bazzi,Andreas Ferrara,1
Keith Finlay,Brittany Street,1
Martha Bailey,Bryan A. Stuart,1
Martha Bailey,Thomas Helgerman,1
Martha Bailey,Hilary Hoynes,1
Brent Hickman,Sutanuka Roy,1
Brent Hickman,Joseph Price,1
Brent Hickman,Christopher Cotton,1
Aspen Gorry,Christian vom Lehn,1
Lars Nordén,Teng Wang,1
Paul Gaggl,Christian vom Lehn,1
Paul Gaggl,Aspen Gorry,1
Martin Gaynor,Seth Richards‐Shubik,1
Luísa Farinha,Francisca Rebelo,1
Laura Blattner,Francisca Rebelo,1
Laura Blattner,Luísa Farinha,1
M. Kathleen Ngangoué,Andrew Schotter,1
Desmond Ang,Sahil Chinoy,1
Samuel Bazzi,Thomas W. Pearson,1
Samuel Bazzi,Patrick Testa,1
Samuel Bazzi,Masyhur Hilmy,1
Samuel Bazzi,Benjamin Marx,1
Lars Nordén,Gregory F. Udell,1
Lars Nordén,Raluca A. Roman,1
Christa H. S. Bouwman,Teng Wang,1
Christa H. S. Bouwman,Gregory F. Udell,1
Christa H. S. Bouwman,Raluca A. Roman,1
Christa H. S. Bouwman,Lars Nordén,1
Allen N. Berger,Teng Wang,1
Allen N. Berger,Gregory F. Udell,1
Allen N. Berger,Raluca A. Roman,1
Allen N. Berger,Lars Nordén,1
Allen N. Berger,Christa H. S. Bouwman,1
Corinne Low,Alessandra Voena,1
Paolo Martellini,Jason Sockin,1
Patrick Testa,Jhacova Williams,1
Thomas W. Pearson,Patrick Testa,1
Andreas Ferrara,Patrick Testa,1
Andreas Ferrara,Thomas W. Pearson,1
Marianne Bertrand,Christopher Blattman,1
Marianne Bertrand,Chang‐Tai Hsieh,1
Marianne Bertrand,Nick Tsivanidis,1
Simon Grant,Sh. L. Liu,1
Markus Schwedeler,Ahmed Tahoun,1
Jesse Schreger,Matteo Maggiori,1
Jesse Schreger,Amanda dos Santos,1
Jesse Schreger,C.R.I. Clayton,1
Jesse Schreger,Ahmed Tahoun,1
Jesse Schreger,Markus Schwedeler,1
Giovanni Maggi,Ralph Ossa,1
Jingni Yang,Sh. L. Liu,1
Han Bleichrodt,Jingni Yang,1
Markus K. Brunnermeier,Stephan Luck,1
Han Bleichrodt,Simon Grant,1
Guo Xu,Abhay Aneja,1
Edoardo Teso,Valdemar Pinho Neto,1
Edoardo Teso,Guo Xu,1
Jörg L. Spenkuch,Yuval Salant,1
Jörg L. Spenkuch,Guo Xu,1
Jörg L. Spenkuch,Edoardo Teso,1
Markus K. Brunnermeier,Tom Zimmermann,1
Ahmed Tahoun,Aakash Kalyani,1
