paper_id,author_id,author_name,author_position,is_corresponding,institution_id,institution_name,institution_type,institution_country
https://openalex.org/W4392295948,https://openalex.org/A5054976699,Michael Weber,last,False,https://openalex.org/I40347166,University of Chicago,education,US
https://openalex.org/W3124765710,https://openalex.org/A5090302083,Mitra Akhtari,first,False,,,,
https://openalex.org/W3124765710,https://openalex.org/A5045196928,Diana Moreira,middle,False,https://openalex.org/I84218800,"University of California, Davis",education,US
https://openalex.org/W3124765710,https://openalex.org/A5083766793,Laura Trucco,last,False,,,,
https://openalex.org/W4298012885,https://openalex.org/A5090322255,Susanna Berkouwer,first,False,https://openalex.org/I79576946,University of Pennsylvania,education,US
https://openalex.org/W4298012885,https://openalex.org/A5058874154,Joshua T. Dean,last,False,https://openalex.org/I40347166,University of Chicago,education,US
https://openalex.org/W3080395694,https://openalex.org/A5103503282,Gene M. Grossman,first,False,https://openalex.org/I20089843,Princeton University,education,US
https://openalex.org/W3080395694,https://openalex.org/A5113776429,Elhanan Helpman,middle,False,https://openalex.org/I136199984,Harvard University,education,US
https://openalex.org/W3080395694,https://openalex.org/A5014797088,Stephen J. Redding,last,False,https://openalex.org/I20089843,Princeton University,education,US
https://openalex.org/W3144679110,https://openalex.org/A5055045322,Christoph Boehm,first,False,https://openalex.org/I86519309,The University of Texas at Austin,education,US
https://openalex.org/W3144679110,https://openalex.org/A5011585023,Andrei A. Levchenko,middle,False,https://openalex.org/I27837315,University of Michigan,education,US
https://openalex.org/W3144679110,https://openalex.org/A5028500177,Nitya Pandalai-Nayar,last,False,https://openalex.org/I86519309,The University of Texas at Austin,education,US
https://openalex.org/W4288074185,https://openalex.org/A5083296691,Litterio Mirenda,first,False,https://openalex.org/I103737770,Bank of Italy,funder,IT
https://openalex.org/W4288074185,https://openalex.org/A5028374010,Sauro Mocetti,middle,False,https://openalex.org/I103737770,Bank of Italy,funder,IT
https://openalex.org/W4288074185,https://openalex.org/A5054750369,Lucia Rizzica,last,False,https://openalex.org/I103737770,Bank of Italy,funder,IT
https://openalex.org/W4293568589,https://openalex.org/A5073753535,Mónica Martínez-Bravo,first,False,https://openalex.org/I2800552397,BREAD (Bureau for Research and Economic Analysis of Development),nonprofit,US
https://openalex.org/W4293568589,https://openalex.org/A5073753535,Mónica Martínez-Bravo,first,False,https://openalex.org/I4210121976,Centro de Estudios Monetarios y Financieros,education,ES
https://openalex.org/W4293568589,https://openalex.org/A5110205379,Gerard Padró i Miquel,middle,False,https://openalex.org/I2800552397,BREAD (Bureau for Research and Economic Analysis of Development),nonprofit,US
https://openalex.org/W4293568589,https://openalex.org/A5110205379,Gerard Padró i Miquel,middle,False,https://openalex.org/I32971472,Yale University,education,US
https://openalex.org/W4293568589,https://openalex.org/A5069042795,Nancy Qian,middle,False,https://openalex.org/I2801857525,Northwestern University,company,CA
https://openalex.org/W4293568589,https://openalex.org/A5101816875,Yang Yao,last,False,https://openalex.org/I20231570,Peking University,education,CN
https://openalex.org/W3175820347,https://openalex.org/A5091637952,Mark Hoekstra,first,False,https://openalex.org/I91045830,Texas A&M University,education,US
https://openalex.org/W3175820347,https://openalex.org/A5035286871,CarlyWill Sloan,last,False,https://openalex.org/I136722135,Claremont Graduate University,education,US
https://openalex.org/W4225134649,https://openalex.org/A5054244368,Yiming Cao,first,False,https://openalex.org/I111088046,Boston University,education,US
https://openalex.org/W4225134649,https://openalex.org/A5115861810,Shuo Chen,last,False,https://openalex.org/I24943067,Fudan University,education,CN
https://openalex.org/W4220898835,https://openalex.org/A5090324651,David Card,first,True,https://openalex.org/I134446601,"University of California, Berkeley",education,US
https://openalex.org/W4220898835,https://openalex.org/A5090324651,David Card,first,True,https://openalex.org/I95457486,"University of California, Berkeley",education,US
https://openalex.org/W2783385777,https://openalex.org/A5012307902,Reshmaan Hussam,first,False,,,,
https://openalex.org/W2783385777,https://openalex.org/A5063547355,Natalia Rigol,middle,False,,,,
https://openalex.org/W2783385777,https://openalex.org/A5103001231,Benjamin Roth,last,False,,,,
https://openalex.org/W4327632557,https://openalex.org/A5045139969,J. Carter Braxton,first,False,https://openalex.org/I135310074,University of Wisconsin–Madison,education,US
https://openalex.org/W4327632557,https://openalex.org/A5047234902,Bledi Taska,last,False,,,,
https://openalex.org/W4396512504,https://openalex.org/A5018060531,Matias D. Cattaneo,first,False,https://openalex.org/I20089843,Princeton University,education,US
https://openalex.org/W4396512504,https://openalex.org/A5053963239,Richard K. Crump,middle,False,https://openalex.org/I43638361,Federal Reserve Bank of New York,other,US
https://openalex.org/W4396512504,https://openalex.org/A5070687203,Max H. Farrell,middle,False,https://openalex.org/I154570441,"University of California, Santa Barbara",education,US
https://openalex.org/W4396512504,https://openalex.org/A5101532300,Yingjie Feng,last,False,https://openalex.org/I99065089,Tsinghua University,education,CN
https://openalex.org/W4293252543,https://openalex.org/A5028580720,Kyle Myers,first,False,https://openalex.org/I136199984,Harvard University,education,US
https://openalex.org/W4293252543,https://openalex.org/A5014489513,Lauren Lanahan,last,False,https://openalex.org/I181233156,University of Oregon,education,US
https://openalex.org/W3122820076,https://openalex.org/A5017815556,Steffen Andersen,first,False,https://openalex.org/I180519160,Copenhagen Business School,education,DK
https://openalex.org/W3122820076,https://openalex.org/A5075949740,Cristian Badarinza,middle,False,https://openalex.org/I165932596,National University of Singapore,education,SG
https://openalex.org/W3122820076,https://openalex.org/A5100645867,Lu Liu,middle,False,https://openalex.org/I79576946,University of Pennsylvania,education,US
https://openalex.org/W3122820076,https://openalex.org/A5063151833,Julie Marx,middle,False,https://openalex.org/I180519160,Copenhagen Business School,education,DK
https://openalex.org/W3122820076,https://openalex.org/A5042695170,Tarun Ramadorai,last,False,https://openalex.org/I1279858714,Center for Economic and Policy Research,nonprofit,US
https://openalex.org/W3122820076,https://openalex.org/A5042695170,Tarun Ramadorai,last,False,https://openalex.org/I47508984,Imperial College London,education,GB
https://openalex.org/W4298012820,https://openalex.org/A5056532188,David Huffman,first,False,https://openalex.org/I170201317,University of Pittsburgh,education,US
https://openalex.org/W4298012820,https://openalex.org/A5022984037,Collin Raymond,middle,False,https://openalex.org/I205783295,Cornell University,education,US
https://openalex.org/W4298012820,https://openalex.org/A5034748820,Julia Shvets,last,False,https://openalex.org/I241749,University of Cambridge,education,GB
https://openalex.org/W4298012820,https://openalex.org/A5034748820,Julia Shvets,last,False,https://openalex.org/I48018076,Christ University,education,IN
https://openalex.org/W4310177458,https://openalex.org/A5087765461,Lucia Corno,first,False,https://openalex.org/I4210152134,University of the Sacred Heart,education,JP
https://openalex.org/W4310177458,https://openalex.org/A5045605391,Eliana La Ferrara,middle,False,https://openalex.org/I71209653,Bocconi University,education,IT
https://openalex.org/W4310177458,https://openalex.org/A5016179145,Justine Burns,last,False,https://openalex.org/I157614274,University of Cape Town,education,ZA
https://openalex.org/W4385362831,https://openalex.org/A5011857326,Joseph Abadi,first,False,https://openalex.org/I57502794,Federal Reserve Bank of Philadelphia,other,US
https://openalex.org/W4385362831,https://openalex.org/A5034194808,Markus K. Brunnermeier,middle,False,https://openalex.org/I20089843,Princeton University,education,US
https://openalex.org/W4385362831,https://openalex.org/A5045885858,Yann Koby,last,False,https://openalex.org/I175594653,Brown University,education,US
https://openalex.org/W3142746606,https://openalex.org/A5009530711,David Arnold,first,False,https://openalex.org/I36258959,University of California San Diego,education,US
https://openalex.org/W3142746606,https://openalex.org/A5022209504,Will Dobbie,middle,False,https://openalex.org/I4210134579,Dana-Farber/Harvard Cancer Center,healthcare,US
https://openalex.org/W3142746606,https://openalex.org/A5024272023,Peter Hull,last,False,https://openalex.org/I175594653,Brown University,education,US
https://openalex.org/W4288074092,https://openalex.org/A5006216240,Jack Mountjoy,first,True,https://openalex.org/I40347166,University of Chicago,education,US
https://openalex.org/W3155315249,https://openalex.org/A5065483088,Brigham Frandsen,first,False,https://openalex.org/I100005738,Brigham Young University,education,US
https://openalex.org/W3155315249,https://openalex.org/A5003694244,Lars Lefgren,middle,False,https://openalex.org/I100005738,Brigham Young University,education,US
https://openalex.org/W3155315249,https://openalex.org/A5031060665,Emily Leslie,last,False,https://openalex.org/I100005738,Brigham Young University,education,US
https://openalex.org/W4293252576,https://openalex.org/A5053706373,Kirby Nielsen,first,False,https://openalex.org/I122411786,California Institute of Technology,education,US
https://openalex.org/W4293252576,https://openalex.org/A5031601284,John Rehbeck,last,False,https://openalex.org/I52357470,The Ohio State University,education,US
https://openalex.org/W2998755519,https://openalex.org/A5065493456,Christina Patterson,first,True,https://openalex.org/I40347166,University of Chicago,education,US
https://openalex.org/W4283367986,https://openalex.org/A5063739518,Pablo Balán,first,False,https://openalex.org/I16391192,Tel Aviv University,education,IL
https://openalex.org/W4283367986,https://openalex.org/A5079235720,Augustin Bergeron,middle,False,https://openalex.org/I1319597252,Center for Global Development,nonprofit,US
https://openalex.org/W4283367986,https://openalex.org/A5079235720,Augustin Bergeron,middle,False,https://openalex.org/I2802444338,King Center,nonprofit,US
https://openalex.org/W4283367986,https://openalex.org/A5079235720,Augustin Bergeron,middle,False,https://openalex.org/I97018004,Stanford University,education,US
https://openalex.org/W4283367986,https://openalex.org/A5068553711,Gabriel Tourek,middle,False,https://openalex.org/I170201317,University of Pittsburgh,education,US
https://openalex.org/W4283367986,https://openalex.org/A5036335335,Jonathan Weigel,last,False,https://openalex.org/I1279858714,Center for Economic and Policy Research,nonprofit,US
https://openalex.org/W4283367986,https://openalex.org/A5036335335,Jonathan Weigel,last,False,https://openalex.org/I95457486,"University of California, Berkeley",education,US
https://openalex.org/W4281842275,https://openalex.org/A5088050242,Chiara Farronato,first,False,https://openalex.org/I1279858714,Center for Economic and Policy Research,nonprofit,US
https://openalex.org/W4281842275,https://openalex.org/A5088050242,Chiara Farronato,first,False,https://openalex.org/I136199984,Harvard University,education,US
https://openalex.org/W4281842275,https://openalex.org/A5082411878,Andrey Fradkin,last,False,https://openalex.org/I111088046,Boston University,education,US
https://openalex.org/W4389614961,https://openalex.org/A5020899995,Daniel P. Gross,first,False,https://openalex.org/I170897317,Duke University,education,US
https://openalex.org/W4389614961,https://openalex.org/A5067146570,Bhaven N. Sampat,last,False,https://openalex.org/I55732556,Arizona State University,education,US
https://openalex.org/W4281614324,https://openalex.org/A5020772057,Fatih Guvenen,first,False,https://openalex.org/I130238516,University of Minnesota,education,US
https://openalex.org/W4281614324,https://openalex.org/A5020772057,Fatih Guvenen,first,False,https://openalex.org/I1341575764,Federal Reserve Bank of Minneapolis,other,US
https://openalex.org/W4281614324,https://openalex.org/A5068488728,Raymond J. Mataloni,middle,False,https://openalex.org/I1288783943,Bureau of Economic Analysis,government,US
https://openalex.org/W4281614324,https://openalex.org/A5050358227,Dylan G. Rassier,middle,False,https://openalex.org/I1288783943,Bureau of Economic Analysis,government,US
https://openalex.org/W4281614324,https://openalex.org/A5050358227,Dylan G. Rassier,middle,False,https://openalex.org/I135310074,University of Wisconsin–Madison,education,US
https://openalex.org/W4281614324,https://openalex.org/A5055965927,Kim J. Ruhl,last,False,https://openalex.org/I135310074,University of Wisconsin–Madison,education,US
https://openalex.org/W4367293510,https://openalex.org/A5064452774,Johannes F. Schmieder,first,False,https://openalex.org/I111088046,Boston University,education,US
https://openalex.org/W4367293510,https://openalex.org/A5064452774,Johannes F. Schmieder,first,False,https://openalex.org/I1279858714,Center for Economic and Policy Research,nonprofit,US
https://openalex.org/W4367293510,https://openalex.org/A5025449630,Till von Wachter,middle,False,https://openalex.org/I1279858714,Center for Economic and Policy Research,nonprofit,US
https://openalex.org/W4367293510,https://openalex.org/A5025449630,Till von Wachter,middle,False,https://openalex.org/I161318765,"University of California, Los Angeles",education,US
https://openalex.org/W4367293510,https://openalex.org/A5083033987,Jörg Heining,last,False,https://openalex.org/I2607685603,Institut für Arbeitsmarkt und Berufsforschung,facility,DE
https://openalex.org/W4367293510,https://openalex.org/A5083033987,Jörg Heining,last,False,https://openalex.org/I4210167358,Employment Agency,government,BG
https://openalex.org/W4281689372,https://openalex.org/A5030485731,Volker Nocke,first,False,https://openalex.org/I177802217,University of Mannheim,education,DE
https://openalex.org/W4281689372,https://openalex.org/A5030485731,Volker Nocke,first,False,https://openalex.org/I28290843,University of Surrey,education,GB
https://openalex.org/W4281689372,https://openalex.org/A5079784274,Michael D. Whinston,last,False,,,,
https://openalex.org/W3152759622,https://openalex.org/A5087006390,Peter Bergman,first,False,https://openalex.org/I86519309,The University of Texas at Austin,education,US
https://openalex.org/W3152759622,https://openalex.org/A5103030207,Raj Chetty,middle,False,https://openalex.org/I136199984,Harvard University,education,US
https://openalex.org/W3152759622,https://openalex.org/A5031137173,Stefanie DeLuca,middle,False,https://openalex.org/I145311948,Johns Hopkins University,education,US
https://openalex.org/W3152759622,https://openalex.org/A5008884407,Nathaniel Hendren,middle,False,https://openalex.org/I63966007,Massachusetts Institute of Technology,education,US
https://openalex.org/W3152759622,https://openalex.org/A5111429542,Lawrence F. Katz,middle,False,https://openalex.org/I136199984,Harvard University,education,US
https://openalex.org/W3152759622,https://openalex.org/A5103055917,Christopher Palmer,last,False,https://openalex.org/I63966007,Massachusetts Institute of Technology,education,US
https://openalex.org/W4387096937,https://openalex.org/A5074283348,Ahmad Lashkaripour,first,False,https://openalex.org/I592451,Indiana University,education,US
https://openalex.org/W4387096937,https://openalex.org/A5103160378,Volodymyr Lugovskyy,last,False,https://openalex.org/I592451,Indiana University,education,US
https://openalex.org/W2509335385,https://openalex.org/A5025248285,Mark Shepard,first,True,https://openalex.org/I136199984,Harvard University,education,US
https://openalex.org/W2509335385,https://openalex.org/A5025248285,Mark Shepard,first,True,https://openalex.org/I178102782,John F. Kennedy University,education,US
https://openalex.org/W2979844637,https://openalex.org/A5024930234,Tom Lane,first,False,https://openalex.org/I13591777,University of Nottingham Ningbo China,education,CN
https://openalex.org/W2979844637,https://openalex.org/A5063906922,Daniele Nosenzo,middle,False,https://openalex.org/I204337017,Aarhus University,education,DK
https://openalex.org/W2979844637,https://openalex.org/A5090845540,Silvia Sonderegger,last,False,https://openalex.org/I142263535,University of Nottingham,education,GB
https://openalex.org/W2979844637,https://openalex.org/A5090845540,Silvia Sonderegger,last,False,https://openalex.org/I4210121621,Decision Research,nonprofit,US
https://openalex.org/W4226034050,https://openalex.org/A5051957289,Peter Schwardmann,first,False,https://openalex.org/I74973139,Carnegie Mellon University,education,US
https://openalex.org/W4226034050,https://openalex.org/A5011857162,Egon Tripodi,middle,False,https://openalex.org/I110002522,University of Essex,education,GB
https://openalex.org/W4226034050,https://openalex.org/A5053767091,Joël J. van der Weele,last,False,https://openalex.org/I198488067,Tinbergen Institute,education,NL
https://openalex.org/W4226034050,https://openalex.org/A5053767091,Joël J. van der Weele,last,False,https://openalex.org/I887064364,University of Amsterdam,education,NL
https://openalex.org/W4400086833,https://openalex.org/A5056779507,Andrew Rhodes,first,False,https://openalex.org/I4210092408,Toulouse School of Economics,education,FR
https://openalex.org/W4400086833,https://openalex.org/A5102753857,Jidong Zhou,last,False,https://openalex.org/I32971472,Yale University,education,US
https://openalex.org/W4406965573,,Qiaoyi Chen,first,False,https://openalex.org/I24943067,Fudan University,education,CN
https://openalex.org/W4406965573,https://openalex.org/A5100351992,Chen Zhao,middle,False,https://openalex.org/I24943067,Fudan University,education,CN
https://openalex.org/W4406965573,https://openalex.org/A5062782779,Zhikuo Liu,middle,False,https://openalex.org/I24943067,Fudan University,education,CN
https://openalex.org/W4406965573,https://openalex.org/A5064417058,Juan Carlos Suárez Serrato,middle,False,https://openalex.org/I97018004,Stanford University,education,US
https://openalex.org/W4406965573,https://openalex.org/A5073644728,Daniel Yi Xu,last,False,https://openalex.org/I170897317,Duke University,education,US
https://openalex.org/W4226301049,https://openalex.org/A5071554028,Kai Hao Yang,first,True,https://openalex.org/I32971472,Yale University,education,US
https://openalex.org/W4283384513,https://openalex.org/A5051398775,Gilat Levy,first,False,https://openalex.org/I909854389,London School of Economics and Political Science,education,GB
https://openalex.org/W4283384513,https://openalex.org/A5047992632,Ronny Razin,middle,False,https://openalex.org/I909854389,London School of Economics and Political Science,education,GB
