institution_name,level1,level2,paper_count
Aalto University,Applied,Labor Economics,1
Aalto University,Applied,Political Economy & Governance,1
Aalto University,Applied,Urban & Regional Economics,1
Aalto University,Micro,Auctions & Market Design,1
Aarhus University,Applied,Labor Economics,2
Aarhus University,Applied,Health Economics,1
Aarhus University,Macro,Business Cycles & Growth,1
Aarhus University,Micro,Behavioral & Experimental Economics,1
Abdul Latif Jameel Poverty Action Lab,Applied,Development Economics,2
Abdul Latif Jameel Poverty Action Lab,Applied,Labor Economics,1
Abdul Latif Jameel Poverty Action Lab,Applied,Political Economy & Governance,1
Abdul Latif Jameel Poverty Action Lab,Applied,Public Finance & Taxation,1
Aix-Marseille Université,Applied,Corporate & Household Finance,1
Aix-Marseille Université,Applied,Education Economics,1
Aix-Marseille Université,Applied,Environmental & Energy Economics,1
American University,Applied,Development Economics,1
American University,Applied,Political Economy & Governance,1
American University,Micro,Industrial Organization & Competition,1
Arizona State University,Applied,Corporate & Household Finance,3
Arizona State University,Macro,Financial Markets & Stability,3
Arizona State University,Macro,Business Cycles & Growth,2
Arizona State University,Macro,Fiscal Policy,2
Arizona State University,Micro,Auctions & Market Design,2
Arizona State University,Applied,Education Economics,1
Arizona State University,Applied,Environmental & Energy Economics,1
Arizona State University,Applied,Labor Economics,1
Arizona State University,Micro,Behavioral & Experimental Economics,1
Arizona State University,Micro,Game Theory & Mechanism Design,1
Australian National University,Macro,Financial Markets & Stability,2
Australian National University,Micro,Behavioral & Experimental Economics,2
Australian National University,Applied,Economic History,1
Australian National University,Applied,Education Economics,1
Australian National University,Applied,Environmental & Energy Economics,1
Australian National University,Applied,Health Economics,1
Australian National University,Applied,Labor Economics,1
Australian National University,Micro,Industrial Organization & Competition,1
Australian Regenerative Medicine Institute,Applied,Economic History,1
Australian Regenerative Medicine Institute,Macro,Fiscal Policy,1
Australian Regenerative Medicine Institute,Micro,Industrial Organization & Competition,1
BI Norwegian Business School,Macro,Financial Markets & Stability,3
BI Norwegian Business School,Applied,Political Economy & Governance,2
BI Norwegian Business School,Macro,Monetary Policy & Central Banking,1
BREAD (Bureau for Research and Economic Analysis of Development),Applied,International Trade,3
BREAD (Bureau for Research and Economic Analysis of Development),Applied,Development Economics,2
BREAD (Bureau for Research and Economic Analysis of Development),Applied,Education Economics,2
BREAD (Bureau for Research and Economic Analysis of Development),Applied,Labor Economics,2
BREAD (Bureau for Research and Economic Analysis of Development),Applied,Political Economy & Governance,1
BREAD (Bureau for Research and Economic Analysis of Development),Applied,Urban & Regional Economics,1
BREAD (Bureau for Research and Economic Analysis of Development),Micro,Behavioral & Experimental Economics,1
Banco Central de Chile,Applied,Labor Economics,1
Banco Central de Chile,Macro,Business Cycles & Growth,1
Banco Central de Chile,Macro,Financial Markets & Stability,1
Banco Central de Chile,Macro,Monetary Policy & Central Banking,1
Banco de Portugal,Macro,Financial Markets & Stability,2
Banco de Portugal,Applied,International Trade,1
Banco de Portugal,Macro,Fiscal Policy,1
Bank for International Settlements,Applied,Development Economics,1
Bank for International Settlements,Macro,Business Cycles & Growth,1
Bank for International Settlements,Macro,Monetary Policy & Central Banking,1
Bank of Canada,Applied,Corporate & Household Finance,1
Bank of Canada,Applied,Labor Economics,1
Bank of Canada,Macro,Financial Markets & Stability,1
Bank of Canada,Micro,Auctions & Market Design,1
Bank of Canada,Micro,General Economic Theory,1
Bank of England,Macro,Monetary Policy & Central Banking,2
Bank of England,Applied,Corporate & Household Finance,1
Bank of England,Macro,Financial Markets & Stability,1
Bank of England,Macro,Fiscal Policy,1
Bank of England,Micro,General Economic Theory,1
Bank of Italy,Applied,Labor Economics,2
Bank of Italy,Applied,Political Economy & Governance,2
Bank of Italy,Applied,International Trade,1
Bank of Italy,Macro,Financial Markets & Stability,1
Bank of Italy,Macro,Fiscal Policy,1
Bank of Italy,Macro,Monetary Policy & Central Banking,1
Bank of Mexico,Applied,Environmental & Energy Economics,1
Bank of Mexico,Macro,Financial Markets & Stability,1
Bank of Mexico,Macro,Fiscal Policy,1
Banque de France,Macro,Fiscal Policy,1
Banque de France,Macro,Monetary Policy & Central Banking,1
Banque de France,Micro,General Economic Theory,1
Barcelona School of Economics,Micro,General Economic Theory,2
Barcelona School of Economics,Applied,International Trade,1
Barcelona School of Economics,Applied,Labor Economics,1
Barcelona School of Economics,Applied,Political Economy & Governance,1
Barcelona School of Economics,Macro,Business Cycles & Growth,1
Barcelona School of Economics,Macro,Monetary Policy & Central Banking,1
Baruch College,Macro,Financial Markets & Stability,2
Baruch College,Micro,Auctions & Market Design,1
Bilkent University,Applied,Education Economics,1
Bilkent University,Applied,International Trade,1
Bilkent University,Applied,Labor Economics,1
Bilkent University,Applied,Other / Interdisciplinary,1
Bocconi University,Applied,Labor Economics,8
Bocconi University,Applied,Political Economy & Governance,4
Bocconi University,Micro,Behavioral & Experimental Economics,4
Bocconi University,Applied,Education Economics,3
Bocconi University,Applied,Other / Interdisciplinary,3
Bocconi University,Macro,Business Cycles & Growth,2
Bocconi University,Macro,Financial Markets & Stability,2
Bocconi University,Macro,Fiscal Policy,2
Bocconi University,Micro,Industrial Organization & Competition,2
Bocconi University,Applied,Corporate & Household Finance,1
Bocconi University,Applied,Economic History,1
Bocconi University,Micro,Game Theory & Mechanism Design,1
Boston College,Macro,Financial Markets & Stability,4
Boston College,Applied,Labor Economics,2
Boston College,Applied,Political Economy & Governance,2
Boston College,Micro,Auctions & Market Design,2
Boston College,Micro,Game Theory & Mechanism Design,2
Boston College,Applied,Education Economics,1
Boston College,Applied,International Trade,1
Boston College,Macro,Fiscal Policy,1
Boston College,Macro,Monetary Policy & Central Banking,1
Boston College,Micro,General Economic Theory,1
Boston College,Micro,Industrial Organization & Competition,1
Boston University,Macro,Financial Markets & Stability,6
Boston University,Applied,Labor Economics,5
Boston University,Applied,Development Economics,4
Boston University,Applied,Health Economics,4
Boston University,Applied,International Trade,3
Boston University,Applied,Political Economy & Governance,2
Boston University,Micro,Behavioral & Experimental Economics,2
Boston University,Micro,General Economic Theory,2
Boston University,Micro,Industrial Organization & Competition,2
Boston University,Applied,Economic History,1
Boston University,Applied,Other / Interdisciplinary,1
Boston University,Applied,Urban & Regional Economics,1
Boston University,Econometrics,Causal Inference & Identification,1
Boston University,Econometrics,Machine Learning in Economics,1
Boston University,Macro,Fiscal Policy,1
Boston University,Macro,Monetary Policy & Central Banking,1
Boston University,Micro,Auctions & Market Design,1
Brandeis University,Macro,Monetary Policy & Central Banking,3
Brandeis University,Applied,Development Economics,1
Brandeis University,Applied,International Trade,1
Brandeis University,Applied,Labor Economics,1
Brandeis University,Micro,General Economic Theory,1
Brigham Young University,Applied,Labor Economics,2
Brigham Young University,Econometrics,Causal Inference & Identification,1
Brigham Young University,Macro,Business Cycles & Growth,1
Brigham Young University,Micro,Behavioral & Experimental Economics,1
Brown University,Applied,Labor Economics,4
Brown University,Applied,Other / Interdisciplinary,3
Brown University,Applied,Political Economy & Governance,3
Brown University,Econometrics,Causal Inference & Identification,3
Brown University,Micro,Auctions & Market Design,3
Brown University,Econometrics,Statistical & Bayesian Methods,2
Brown University,Micro,General Economic Theory,2
Brown University,Applied,Development Economics,1
Brown University,Applied,Education Economics,1
Brown University,Applied,Health Economics,1
Brown University,Applied,International Trade,1
Brown University,Applied,Urban & Regional Economics,1
Brown University,Econometrics,Time Series & Panel Data Methods,1
Brown University,Macro,Financial Markets & Stability,1
Brown University,Macro,Fiscal Policy,1
Brown University,Macro,Monetary Policy & Central Banking,1
Brown University,Micro,Behavioral & Experimental Economics,1
Brown University,Micro,Industrial Organization & Competition,1
Bureau of Economic Analysis,Applied,Health Economics,2
Bureau of Economic Analysis,Applied,Urban & Regional Economics,2
Bureau of Economic Analysis,Applied,Other / Interdisciplinary,1
Bureau of Economic Analysis,Applied,Political Economy & Governance,1
Bureau of Economic Analysis,Applied,Public Finance & Taxation,1
CY Cergy Paris Université,Applied,Health Economics,1
CY Cergy Paris Université,Applied,Other / Interdisciplinary,1
CY Cergy Paris Université,Micro,Industrial Organization & Competition,1
California Institute of Technology,Applied,Other / Interdisciplinary,2
California Institute of Technology,Micro,Behavioral & Experimental Economics,2
California Institute of Technology,Micro,Game Theory & Mechanism Design,2
California Institute of Technology,Applied,Corporate & Household Finance,1
California Institute of Technology,Applied,Environmental & Energy Economics,1
California Institute of Technology,Applied,Labor Economics,1
California Institute of Technology,Macro,Financial Markets & Stability,1
California Institute of Technology,Micro,Auctions & Market Design,1
California Institute of Technology,Micro,General Economic Theory,1
California Southern University,Applied,Labor Economics,3
California Southern University,Micro,Auctions & Market Design,2
California Southern University,Applied,Political Economy & Governance,1
California Southern University,Macro,Business Cycles & Growth,1
California Southern University,Macro,Financial Markets & Stability,1
Carnegie Mellon University,Applied,Labor Economics,3
Carnegie Mellon University,Micro,Behavioral & Experimental Economics,3
Carnegie Mellon University,Applied,Corporate & Household Finance,2
Carnegie Mellon University,Applied,International Trade,2
Carnegie Mellon University,Macro,Financial Markets & Stability,2
Carnegie Mellon University,Micro,Auctions & Market Design,2
Carnegie Mellon University,Applied,Development Economics,1
Carnegie Mellon University,Applied,Health Economics,1
Carnegie Mellon University,Applied,Other / Interdisciplinary,1
Carnegie Mellon University,Applied,Political Economy & Governance,1
Carnegie Mellon University,Applied,Urban & Regional Economics,1
Carnegie Mellon University,Macro,Fiscal Policy,1
Carnegie Mellon University,Micro,Game Theory & Mechanism Design,1
Center for Economic and Policy Research,Applied,Labor Economics,18
Center for Economic and Policy Research,Macro,Financial Markets & Stability,18
Center for Economic and Policy Research,Applied,Development Economics,15
Center for Economic and Policy Research,Applied,International Trade,12
Center for Economic and Policy Research,Applied,Political Economy & Governance,11
Center for Economic and Policy Research,Micro,Industrial Organization & Competition,11
Center for Economic and Policy Research,Macro,Fiscal Policy,8
Center for Economic and Policy Research,Applied,Corporate & Household Finance,7
Center for Economic and Policy Research,Macro,Business Cycles & Growth,7
Center for Economic and Policy Research,Macro,Monetary Policy & Central Banking,7
Center for Economic and Policy Research,Applied,Education Economics,5
Center for Economic and Policy Research,Applied,Other / Interdisciplinary,4
Center for Economic and Policy Research,Applied,Environmental & Energy Economics,3
Center for Economic and Policy Research,Applied,Health Economics,3
Center for Economic and Policy Research,Applied,Public Finance & Taxation,3
Center for Economic and Policy Research,Micro,General Economic Theory,3
Center for Economic and Policy Research,Applied,Economic History,2
Center for Economic and Policy Research,Applied,Urban & Regional Economics,2
Center for Economic and Policy Research,Micro,Game Theory & Mechanism Design,2
Center for Economic and Policy Research,Econometrics,Time Series & Panel Data Methods,1
Center for Responsible Travel,Applied,Labor Economics,2
Center for Responsible Travel,Applied,Corporate & Household Finance,1
Center for Responsible Travel,Applied,Education Economics,1
Central European University,Applied,Corporate & Household Finance,1
Central European University,Applied,Development Economics,1
Central European University,Micro,Behavioral & Experimental Economics,1
Centre National de la Recherche Scientifique,Applied,Public Finance & Taxation,2
Centre National de la Recherche Scientifique,Applied,Development Economics,1
Centre National de la Recherche Scientifique,Applied,Education Economics,1
Centre National de la Recherche Scientifique,Applied,Health Economics,1
Centre National de la Recherche Scientifique,Applied,Labor Economics,1
Centre National de la Recherche Scientifique,Applied,Other / Interdisciplinary,1
Centre National de la Recherche Scientifique,Applied,Political Economy & Governance,1
Centre National de la Recherche Scientifique,Macro,Financial Markets & Stability,1
Centre National de la Recherche Scientifique,Macro,Fiscal Policy,1
Centre National de la Recherche Scientifique,Micro,Game Theory & Mechanism Design,1
Centre National pour la Recherche Scientifique et Technique (CNRST),Applied,Education Economics,2
Centre National pour la Recherche Scientifique et Technique (CNRST),Applied,Development Economics,1
Centre National pour la Recherche Scientifique et Technique (CNRST),Applied,Public Finance & Taxation,1
Centre National pour la Recherche Scientifique et Technique (CNRST),Macro,Fiscal Policy,1
Centre National pour la Recherche Scientifique et Technique (CNRST),Micro,Game Theory & Mechanism Design,1
Centre National pour la Recherche Scientifique et Technique (CNRST),Micro,General Economic Theory,1
Centre National pour la Recherche Scientifique et Technique (CNRST),Micro,Industrial Organization & Competition,1
Centre Pour La Recherche Economique et ses Applications,Applied,Education Economics,1
Centre Pour La Recherche Economique et ses Applications,Applied,Health Economics,1
Centre Pour La Recherche Economique et ses Applications,Applied,Urban & Regional Economics,1
Centre de Recerca en Economia Internacional,Applied,Labor Economics,1
Centre de Recerca en Economia Internacional,Macro,Monetary Policy & Central Banking,1
Centre de Recerca en Economia Internacional,Micro,General Economic Theory,1
Centre de Recherche en Économie et Statistique,Applied,Education Economics,3
Centre de Recherche en Économie et Statistique,Applied,Labor Economics,3
Centre de Recherche en Économie et Statistique,Macro,Financial Markets & Stability,2
Centre de Recherche en Économie et Statistique,Macro,Fiscal Policy,2
Centre de Recherche en Économie et Statistique,Applied,Corporate & Household Finance,1
Centre de Recherche en Économie et Statistique,Applied,Health Economics,1
Centre de Recherche en Économie et Statistique,Applied,Public Finance & Taxation,1
Centre de Recherche en Économie et Statistique,Micro,Behavioral & Experimental Economics,1
Centre de Recherche en Économie et Statistique,Micro,Industrial Organization & Competition,1
Centre for Economic Policy Research,Macro,Financial Markets & Stability,7
Centre for Economic Policy Research,Applied,Corporate & Household Finance,6
Centre for Economic Policy Research,Applied,Political Economy & Governance,5
Centre for Economic Policy Research,Micro,Industrial Organization & Competition,5
Centre for Economic Policy Research,Macro,Monetary Policy & Central Banking,4
Centre for Economic Policy Research,Micro,General Economic Theory,4
Centre for Economic Policy Research,Applied,Development Economics,3
Centre for Economic Policy Research,Applied,Labor Economics,3
Centre for Economic Policy Research,Micro,Game Theory & Mechanism Design,3
Centre for Economic Policy Research,Applied,Environmental & Energy Economics,2
Centre for Economic Policy Research,Applied,Health Economics,2
Centre for Economic Policy Research,Applied,International Trade,2
Centre for Economic Policy Research,Applied,Urban & Regional Economics,2
Centre for Economic Policy Research,Macro,Business Cycles & Growth,2
Centre for Economic Policy Research,Micro,Behavioral & Experimental Economics,2
Centre for Economic Policy Research,Applied,Economic History,1
Centre for Economic Policy Research,Applied,Education Economics,1
Centre for Economic Policy Research,Applied,Other / Interdisciplinary,1
Centre for Economic Policy Research,Applied,Public Finance & Taxation,1
Centre for Economic Policy Research,Macro,Fiscal Policy,1
Centre for Economic Policy Research,Micro,Auctions & Market Design,1
Centre for European Economic Research,Applied,Labor Economics,3
Centre for European Economic Research,Macro,Business Cycles & Growth,2
Centre for European Economic Research,Econometrics,Causal Inference & Identification,1
Centre for Research in Engineering Surface Technology,Applied,Labor Economics,2
Centre for Research in Engineering Surface Technology,Applied,Corporate & Household Finance,1
Centre for Research in Engineering Surface Technology,Applied,Education Economics,1
Centre for Research in Engineering Surface Technology,Applied,Political Economy & Governance,1
Centro de Estudios Monetarios y Financieros,Applied,Development Economics,1
Centro de Estudios Monetarios y Financieros,Applied,International Trade,1
Centro de Estudios Monetarios y Financieros,Applied,Urban & Regional Economics,1
Centro de Estudios Monetarios y Financieros,Econometrics,Causal Inference & Identification,1
Centro de Estudios Monetarios y Financieros,Macro,Fiscal Policy,1
Chinese University of Hong Kong,Applied,Labor Economics,2
Chinese University of Hong Kong,Applied,Development Economics,1
Chinese University of Hong Kong,Applied,Health Economics,1
Chinese University of Hong Kong,Applied,International Trade,1
Chinese University of Hong Kong,Applied,Political Economy & Governance,1
Chinese University of Hong Kong,Econometrics,Statistical & Bayesian Methods,1
Chinese University of Hong Kong,Macro,Business Cycles & Growth,1
Chinese University of Hong Kong,Macro,Monetary Policy & Central Banking,1
Chinese University of Hong Kong,Micro,Behavioral & Experimental Economics,1
Clemson University,Applied,Education Economics,1
Clemson University,Applied,Labor Economics,1
Clemson University,Macro,Business Cycles & Growth,1
Clemson University,Micro,Industrial Organization & Competition,1
Collegio Carlo Alberto,Applied,Corporate & Household Finance,1
Collegio Carlo Alberto,Applied,Labor Economics,1
Collegio Carlo Alberto,Applied,Political Economy & Governance,1
Collegio Carlo Alberto,Applied,Urban & Regional Economics,1
Collegio Carlo Alberto,Macro,Business Cycles & Growth,1
Collegio Carlo Alberto,Micro,General Economic Theory,1
Columbia University,Macro,Financial Markets & Stability,9
Columbia University,Micro,Auctions & Market Design,7
Columbia University,Applied,Political Economy & Governance,6
Columbia University,Applied,Labor Economics,5
Columbia University,Micro,General Economic Theory,5
Columbia University,Applied,Corporate & Household Finance,4
Columbia University,Applied,Development Economics,4
Columbia University,Micro,Behavioral & Experimental Economics,4
Columbia University,Micro,Game Theory & Mechanism Design,4
Columbia University,Applied,Environmental & Energy Economics,3
Columbia University,Applied,Health Economics,2
Columbia University,Econometrics,Causal Inference & Identification,2
Columbia University,Macro,Monetary Policy & Central Banking,2
Columbia University,Micro,Industrial Organization & Competition,2
Columbia University,Applied,Education Economics,1
Columbia University,Applied,International Trade,1
Columbia University,Applied,Urban & Regional Economics,1
Columbia University,Econometrics,Machine Learning in Economics,1
Columbia University,Econometrics,Statistical & Bayesian Methods,1
Columbia University,Macro,Business Cycles & Growth,1
Columbia University,Macro,Fiscal Policy,1
Copenhagen Business School,Macro,Financial Markets & Stability,2
Copenhagen Business School,Micro,Behavioral & Experimental Economics,2
Cornell University,Micro,Behavioral & Experimental Economics,5
Cornell University,Micro,Industrial Organization & Competition,5
Cornell University,Applied,Development Economics,3
Cornell University,Applied,Education Economics,2
Cornell University,Applied,Environmental & Energy Economics,2
Cornell University,Applied,Political Economy & Governance,2
Cornell University,Econometrics,Time Series & Panel Data Methods,2
Cornell University,Applied,Health Economics,1
Cornell University,Applied,Labor Economics,1
Cornell University,Econometrics,Statistical & Bayesian Methods,1
Cornell University,Macro,Financial Markets & Stability,1
Cornell University,Micro,Auctions & Market Design,1
Dana-Farber/Harvard Cancer Center,Applied,Political Economy & Governance,4
Dana-Farber/Harvard Cancer Center,Macro,Fiscal Policy,2
Dana-Farber/Harvard Cancer Center,Applied,Health Economics,1
Dana-Farber/Harvard Cancer Center,Applied,International Trade,1
Dana-Farber/Harvard Cancer Center,Applied,Labor Economics,1
Dana-Farber/Harvard Cancer Center,Applied,Other / Interdisciplinary,1
Dana-Farber/Harvard Cancer Center,Macro,Monetary Policy & Central Banking,1
Dana-Farber/Harvard Cancer Center,Micro,Auctions & Market Design,1
Dana-Farber/Harvard Cancer Center,Micro,Behavioral & Experimental Economics,1
Dartmouth College,Applied,Labor Economics,4
Dartmouth College,Micro,Industrial Organization & Competition,3
Dartmouth College,Applied,Development Economics,2
Dartmouth College,Applied,Corporate & Household Finance,1
Dartmouth College,Applied,International Trade,1
Dartmouth College,Macro,Fiscal Policy,1
Dartmouth College,Micro,Behavioral & Experimental Economics,1
Dartmouth College,Micro,Game Theory & Mechanism Design,1
Dartmouth Hospital,Applied,Development Economics,3
Dartmouth Hospital,Micro,Industrial Organization & Competition,2
Dartmouth Hospital,Applied,Corporate & Household Finance,1
Dartmouth Hospital,Macro,Fiscal Policy,1
Decision Sciences (United States),Macro,Financial Markets & Stability,2
Decision Sciences (United States),Micro,Behavioral & Experimental Economics,2
Decision Sciences (United States),Applied,Other / Interdisciplinary,1
Duke University,Applied,Labor Economics,6
Duke University,Applied,Education Economics,5
Duke University,Micro,Auctions & Market Design,4
Duke University,Applied,Development Economics,3
Duke University,Applied,Environmental & Energy Economics,3
Duke University,Macro,Fiscal Policy,3
Duke University,Applied,Corporate & Household Finance,2
Duke University,Applied,International Trade,2
Duke University,Applied,Political Economy & Governance,2
Duke University,Applied,Urban & Regional Economics,2
Duke University,Applied,Health Economics,1
Duke University,Applied,Other / Interdisciplinary,1
Duke University,Econometrics,Statistical & Bayesian Methods,1
Duke University,Macro,Business Cycles & Growth,1
Duke University,Macro,Financial Markets & Stability,1
Duke University,Macro,Monetary Policy & Central Banking,1
Duke University,Micro,Behavioral & Experimental Economics,1
Duke University,Micro,Game Theory & Mechanism Design,1
Duke University,Micro,General Economic Theory,1
Duke University,Micro,Industrial Organization & Competition,1
Durham University,Macro,Financial Markets & Stability,1
Durham University,Macro,Fiscal Policy,1
Durham University,Micro,Behavioral & Experimental Economics,1
ENSAE Paris,Applied,Education Economics,2
ENSAE Paris,Applied,Corporate & Household Finance,1
ENSAE Paris,Applied,Labor Economics,1
ENSAE Paris,Macro,Financial Markets & Stability,1
ENSAE Paris,Micro,Industrial Organization & Competition,1
ETH Zurich,Applied,Development Economics,3
ETH Zurich,Applied,Political Economy & Governance,1
Economic Policy Institute,Micro,Industrial Organization & Competition,4
Economic Policy Institute,Applied,Labor Economics,3
Economic Policy Institute,Applied,Political Economy & Governance,3
Economic Policy Institute,Applied,Corporate & Household Finance,2
Economic Policy Institute,Macro,Monetary Policy & Central Banking,2
Economic Policy Institute,Applied,Education Economics,1
Economic Policy Institute,Applied,International Trade,1
Economic Policy Institute,Macro,Fiscal Policy,1
Economic Policy Institute,Micro,Auctions & Market Design,1
Economic Policy Institute,Micro,Game Theory & Mechanism Design,1
Economic Policy Institute,Micro,General Economic Theory,1
Economic Research Centre,Applied,Labor Economics,1
Economic Research Centre,Applied,Public Finance & Taxation,1
Economic Research Centre,Macro,Financial Markets & Stability,1
Einaudi Institute for Economics and Finance,Macro,Monetary Policy & Central Banking,2
Einaudi Institute for Economics and Finance,Applied,Corporate & Household Finance,1
Einaudi Institute for Economics and Finance,Applied,Development Economics,1
Einaudi Institute for Economics and Finance,Applied,Labor Economics,1
Einaudi Institute for Economics and Finance,Applied,Political Economy & Governance,1
Einaudi Institute for Economics and Finance,Macro,Fiscal Policy,1
Einaudi Institute for Economics and Finance,Micro,General Economic Theory,1
Emory University,Applied,Health Economics,3
Emory University,Applied,Development Economics,1
Emory University,Econometrics,Causal Inference & Identification,1
Emory University,Econometrics,Machine Learning in Economics,1
Emory University,Econometrics,Statistical & Bayesian Methods,1
Emory University,Macro,Financial Markets & Stability,1
Emory University,Micro,Behavioral & Experimental Economics,1
Emory University,Micro,Game Theory & Mechanism Design,1
Emory University,Micro,General Economic Theory,1
Employment Agency,Applied,Labor Economics,2
Employment Agency,Macro,Fiscal Policy,1
Erasmus University Rotterdam,Applied,Corporate & Household Finance,1
Erasmus University Rotterdam,Applied,Health Economics,1
Erasmus University Rotterdam,Macro,Financial Markets & Stability,1
Erasmus University Rotterdam,Micro,Behavioral & Experimental Economics,1
Escola Brasileira de Economia e Finanças,Applied,Corporate & Household Finance,1
Escola Brasileira de Economia e Finanças,Applied,Urban & Regional Economics,1
Escola Brasileira de Economia e Finanças,Econometrics,Causal Inference & Identification,1
Escola Brasileira de Economia e Finanças,Micro,Auctions & Market Design,1
Escola Brasileira de Economia e Finanças,Micro,General Economic Theory,1
European Central Bank,Macro,Financial Markets & Stability,2
European Central Bank,Macro,Monetary Policy & Central Banking,2
European Central Bank,Applied,Labor Economics,1
European University Institute,Applied,Labor Economics,1
European University Institute,Applied,Other / Interdisciplinary,1
European University Institute,Applied,Political Economy & Governance,1
European University Institute,Macro,Financial Markets & Stability,1
Fafo Foundation,Applied,Political Economy & Governance,3
Fafo Foundation,Applied,Corporate & Household Finance,1
Fafo Foundation,Applied,Health Economics,1
Fafo Foundation,Applied,Labor Economics,1
Fafo Foundation,Applied,Other / Interdisciplinary,1
Federal Reserve,Macro,Financial Markets & Stability,4
Federal Reserve,Macro,Monetary Policy & Central Banking,2
Federal Reserve,Applied,International Trade,1
Federal Reserve,Macro,Business Cycles & Growth,1
Federal Reserve,Micro,General Economic Theory,1
Federal Reserve Bank of Atlanta,Macro,Monetary Policy & Central Banking,2
Federal Reserve Bank of Atlanta,Applied,Corporate & Household Finance,1
Federal Reserve Bank of Atlanta,Applied,Labor Economics,1
Federal Reserve Bank of Atlanta,Applied,Political Economy & Governance,1
Federal Reserve Bank of Atlanta,Econometrics,Statistical & Bayesian Methods,1
Federal Reserve Bank of Chicago,Macro,Financial Markets & Stability,3
Federal Reserve Bank of Chicago,Macro,Monetary Policy & Central Banking,2
Federal Reserve Bank of Chicago,Applied,Corporate & Household Finance,1
Federal Reserve Bank of Chicago,Applied,Environmental & Energy Economics,1
Federal Reserve Bank of Chicago,Applied,Health Economics,1
Federal Reserve Bank of Chicago,Applied,Labor Economics,1
Federal Reserve Bank of Chicago,Applied,Public Finance & Taxation,1
Federal Reserve Bank of Chicago,Micro,Auctions & Market Design,1
Federal Reserve Bank of Cleveland,Applied,Labor Economics,1
Federal Reserve Bank of Cleveland,Econometrics,Machine Learning in Economics,1
Federal Reserve Bank of Cleveland,Macro,Financial Markets & Stability,1
Federal Reserve Bank of Cleveland,Macro,Fiscal Policy,1
Federal Reserve Bank of Cleveland,Macro,Monetary Policy & Central Banking,1
Federal Reserve Bank of Cleveland,Micro,General Economic Theory,1
Federal Reserve Bank of Minneapolis,Macro,Financial Markets & Stability,8
Federal Reserve Bank of Minneapolis,Applied,Labor Economics,7
Federal Reserve Bank of Minneapolis,Macro,Fiscal Policy,4
Federal Reserve Bank of Minneapolis,Macro,Monetary Policy & Central Banking,3
Federal Reserve Bank of Minneapolis,Applied,Corporate & Household Finance,2
Federal Reserve Bank of Minneapolis,Micro,Industrial Organization & Competition,2
Federal Reserve Bank of Minneapolis,Applied,Education Economics,1
Federal Reserve Bank of Minneapolis,Applied,Health Economics,1
Federal Reserve Bank of Minneapolis,Applied,International Trade,1
Federal Reserve Bank of Minneapolis,Applied,Public Finance & Taxation,1
Federal Reserve Bank of Minneapolis,Micro,General Economic Theory,1
Federal Reserve Bank of New York,Applied,Corporate & Household Finance,3
Federal Reserve Bank of New York,Macro,Monetary Policy & Central Banking,3
Federal Reserve Bank of New York,Applied,Environmental & Energy Economics,2
Federal Reserve Bank of New York,Applied,International Trade,2
Federal Reserve Bank of New York,Macro,Business Cycles & Growth,2
Federal Reserve Bank of New York,Applied,Development Economics,1
Federal Reserve Bank of New York,Applied,Education Economics,1
Federal Reserve Bank of New York,Applied,Labor Economics,1
Federal Reserve Bank of New York,Applied,Other / Interdisciplinary,1
Federal Reserve Bank of New York,Econometrics,Machine Learning in Economics,1
Federal Reserve Bank of New York,Macro,Financial Markets & Stability,1
Federal Reserve Bank of New York,Micro,Auctions & Market Design,1
Federal Reserve Bank of Philadelphia,Macro,Financial Markets & Stability,3
Federal Reserve Bank of Philadelphia,Applied,Urban & Regional Economics,2
Federal Reserve Bank of Philadelphia,Micro,General Economic Theory,2
Federal Reserve Bank of Philadelphia,Applied,Labor Economics,1
Federal Reserve Bank of Philadelphia,Econometrics,Statistical & Bayesian Methods,1
Federal Reserve Bank of Philadelphia,Macro,Fiscal Policy,1
Federal Reserve Bank of Philadelphia,Micro,Industrial Organization & Competition,1
Federal Reserve Bank of Richmond,Macro,Monetary Policy & Central Banking,3
Federal Reserve Bank of Richmond,Macro,Business Cycles & Growth,2
Federal Reserve Bank of Richmond,Macro,Fiscal Policy,2
Federal Reserve Bank of Richmond,Applied,Corporate & Household Finance,1
Federal Reserve Bank of Richmond,Applied,Environmental & Energy Economics,1
Federal Reserve Bank of Richmond,Applied,Labor Economics,1
Federal Reserve Bank of Richmond,Applied,Other / Interdisciplinary,1
Federal Reserve Bank of Richmond,Econometrics,Statistical & Bayesian Methods,1
Federal Reserve Bank of Richmond,Macro,Financial Markets & Stability,1
Federal Reserve Bank of Richmond,Micro,Industrial Organization & Competition,1
Federal Reserve Bank of San Francisco,Macro,Monetary Policy & Central Banking,3
Federal Reserve Bank of San Francisco,Macro,Business Cycles & Growth,2
Federal Reserve Bank of San Francisco,Macro,Financial Markets & Stability,2
Federal Reserve Bank of San Francisco,Applied,Health Economics,1
Federal Reserve Bank of San Francisco,Applied,Labor Economics,1
Federal Reserve Bank of San Francisco,Macro,Fiscal Policy,1
Federal Reserve Bank of San Francisco,Micro,Industrial Organization & Competition,1
Federal Reserve Bank of St. Louis,Applied,Corporate & Household Finance,1
Federal Reserve Bank of St. Louis,Applied,International Trade,1
Federal Reserve Bank of St. Louis,Applied,Labor Economics,1
